config_id,fold,d_model,n_heads,n_layers,dropout,lr,weight_decay,best_val_loss,rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2
st_small,1,64,4,2,0.1,0.0003,0.0001,0.2203957736492157,173.41799439864943,19.838169737040385,72.21318054199219,14.363716125488281,0.34209537506103516,0.6845734119415283,96.6280820678449,43.288448333740234,0.5133343935012817
st_small,2,64,4,2,0.1,0.0003,0.0001,0.19565969705581665,88.2888298737091,25.341765489503686,39.38990020751953,14.842619895935059,-0.7943038940429688,0.5745006799697876,56.815297681606395,27.116260051727295,-0.10990160703659058
st_small,3,64,4,2,0.1,0.0003,0.0001,0.12412838637828827,79.65961215442711,19.86048675954776,37.37646484375,14.41275405883789,0.7610059380531311,0.6940249800682068,49.76004945698743,25.894609451293945,0.727515459060669
st_small,4,64,4,2,0.1,0.0003,0.0001,0.17611369490623474,85.18959782816796,17.97456342779768,33.934932708740234,13.375225067138672,0.4823092818260193,0.7567147016525269,51.58208062798282,23.655078887939453,0.6195119917392731
st_small,5,64,4,2,0.1,0.0003,0.0001,0.17223742604255676,236.6334025185371,17.56810304583014,61.939903259277344,11.602879524230957,0.4414176344871521,0.6978423595428467,127.10075278218362,36.77139139175415,0.5696299970149994
st_medium,1,96,4,2,0.1,0.0003,0.0001,0.12646324932575226,165.48080987685552,18.25867329218158,63.22290802001953,11.900930404663086,0.40094059705734253,0.7328017950057983,91.86974158451855,37.56191921234131,0.5668711960315704
st_medium,2,96,4,2,0.1,0.0003,0.0001,0.16952556371688843,123.28856521389159,18.84816506761376,44.56032943725586,11.412245750427246,-2.4988884925842285,0.7646234035491943,71.06836514075268,27.986287593841553,-0.8671325445175171
st_medium,3,96,4,2,0.1,0.0003,0.0001,0.10604691505432129,81.68977736879016,20.810733021369497,40.09208297729492,14.474844932556152,0.7486689686775208,0.6640450954437256,51.25025519507983,27.283463954925537,0.7063570320606232
st_medium,4,96,4,2,0.1,0.0003,0.0001,0.2309528887271881,83.11090693502568,19.593756230062805,29.530866622924805,13.658899307250977,0.5072651505470276,0.7109090089797974,51.352331582544245,21.59488296508789,0.6090870797634125
st_medium,5,96,4,2,0.1,0.0003,0.0001,0.15517021715641022,241.41277701532286,22.0853184605499,61.8946418762207,14.570328712463379,0.41862601041793823,0.5224804282188416,131.7490477379364,38.23248529434204,0.4705532193183899
st_deep,1,96,4,3,0.15,0.0002,0.0001,0.1422584503889084,137.51859249297894,17.97936507108566,55.26527404785156,11.47728157043457,0.5862886309623718,0.7409141063690186,77.7489787820323,33.371277809143066,0.6636013686656952
st_deep,2,96,4,3,0.15,0.0002,0.0001,0.1553952395915985,130.3191994680753,23.28011348945772,46.95518493652344,13.824973106384277,-2.909320831298828,0.6409165859222412,76.79965647876651,30.390079021453857,-1.1342021226882935
st_deep,3,96,4,3,0.15,0.0002,0.0001,0.11048473417758942,75.20386030961942,20.2426940548351,37.295555114746094,14.486945152282715,0.786994457244873,0.6821349263191223,47.72327718222726,25.891250133514404,0.7345646917819977
st_deep,4,96,4,3,0.15,0.0002,0.0001,0.21287886798381805,86.62635562160773,20.758442459626142,33.45872116088867,12.77827262878418,0.4646998643875122,0.6755194664001465,53.692399040616934,23.118496894836426,0.5701096653938293
st_deep,5,96,4,3,0.15,0.0002,0.0001,0.19413459300994873,252.68961011980687,21.788262747513567,72.2437744140625,16.041038513183594,0.3630433678627014,0.5352396965026855,137.23893643366023,44.14240646362305,0.4491415321826935
