scenario_id,target_name,total_pair_proxy_score,target_true,score__ao_ao,score__ao_mo,score__zddp_detergent,score__zn_dispersant,score__antiwear_ca_mg
train_1,viscosity,0.03543691142112948,25.4,0.00043075569556094706,0.0,0.021289768163114786,0.0,0.013716387562453747
train_2,viscosity,0.046363335219211876,20.5,0.005124669522047043,0.0,0.02071904030162841,0.0,0.020519625395536423
train_3,viscosity,3.069596872835973,-20.3,2.4303935788339004e-05,0.0,4.396995063871145e-05,0.0,3.069528598949546
train_4,viscosity,3.5395086774005904,-20.6,0.00010369302617618814,0.0,0.0004991996538592502,0.0,3.538905784720555
train_5,viscosity,3.603589947655564,-18.9,0.00010967886191792786,0.0,0.0005244782078079879,0.0,3.6029557905858383
train_6,viscosity,4.047798286592297,-17.83,0.00011923847341677174,0.0,0.00035592736094258726,0.0,4.047323120757937
train_7,viscosity,3.348729690507753,-18.1,0.00013977731578052044,0.0,0.0006641951331403106,0.0,3.347925718058832
train_8,viscosity,1.048494317670702,-19.12,0.0001108728174585849,0.0,0.00020211278751958162,0.0,1.0481813320657238
train_9,viscosity,3.6662357866553066,-19.54,4.164449273957871e-05,0.0,9.211970609612763e-05,0.0,3.666102022456471
train_10,viscosity,0.4064035713672638,-23.78,0.034096162766218185,0.0,0.10201166942715645,0.0,0.27029573917388916
train_11,viscosity,0.8431967496871948,-15.32,0.0,0.0,0.8431967496871948,0.0,0.0
train_12,viscosity,2.0573360919952393,-31.67,0.0,0.0,2.0573360919952393,0.0,0.0
train_13,viscosity,3.0124194622039795,-31.73,0.0,0.0,3.0124194622039795,0.0,0.0
train_14,viscosity,1.5775642357766628,-30.7,0.8630914092063904,0.0,0.10956567618995905,0.6049071503803134,0.0
train_15,viscosity,4.056209670379758,-29.38,3.992973566055298,0.0,0.009670275845564902,0.05356582847889513,0.0
train_16,viscosity,4.038197316927835,-31.38,3.9774868488311768,0.0,0.009284043917432427,0.05142642417922616,0.0
train_17,viscosity,0.9732101559638977,-35.6,0.0,0.0,0.9732101559638977,0.0,0.0
train_18,viscosity,0.4480785243213177,-18.1,0.10693800449371338,0.0,0.3411405198276043,0.0,0.0
train_19,viscosity,0.3941001445055008,-17.2,0.10685360431671143,0.0,0.28724654018878937,0.0,0.0
train_20,viscosity,0.7207617529493291,-17.51,0.00018214213196188211,0.0,0.0009176206367556006,0.0,0.7196619901806116
train_21,viscosity,1.9336959623615257,-18.94,0.00011550754425115883,0.0005246546352282166,0.0012413239164743572,0.0,1.931814476265572
train_22,viscosity,4.08602640213212,-9.85,0.0005830940208397806,0.0,0.0030952594242990017,0.0,4.082348048686981
train_23,viscosity,4.081304270599503,-9.94,0.0007171934121288359,0.0,0.009541082428768277,0.0,4.071045994758606
train_24,viscosity,3.9221993120736443,-19.12,0.0006326360162347555,0.0,0.0021922250161878765,0.0,3.9193744510412216
train_25,viscosity,4.047810072370339,-11.39,0.0005824810359627008,0.0,0.002977762429509312,0.0,4.044249828904867
train_26,viscosity,0.20696454040444223,30.81,0.0004294580430723727,0.001896173635032028,0.0003243453029426746,0.0,0.20431456342339516
train_27,viscosity,0.06602157582528889,25.67,0.0007506723632104695,0.003295961651019752,0.0006360338302329183,0.0,0.06133890798082575
train_28,viscosity,0.2998053826595424,69.8,0.00024396962544415146,0.0,0.0014743863430339843,0.0,0.29808702669106424
train_29,viscosity,0.3004633933887817,53.13,0.0006918091094121337,0.0,0.0014923656708560884,0.0,0.2982792186085135
train_30,viscosity,0.30590346807730384,68.02,0.0007624694844707847,0.0,0.0009835380187723786,0.0,0.3041574605740607
train_31,viscosity,0.30590346807730384,68.02,0.0007624694844707847,0.0,0.0009835380187723786,0.0,0.3041574605740607
train_32,viscosity,4.2677682809880935,-9.77,0.00043095776345580816,0.0,0.0012584338546730578,0.0,4.266078889369965
train_33,viscosity,4.2677682809880935,-9.77,0.00043095776345580816,0.0,0.0012584338546730578,0.0,4.266078889369965
train_34,viscosity,4.2677682809880935,-9.77,0.00043095776345580816,0.0,0.0012584338546730578,0.0,4.266078889369965
train_35,viscosity,0.10237548820441589,45.82,0.0007757351268082857,0.0,0.0009802295244298875,0.0,0.10061952355317771
train_36,viscosity,0.10779351880773902,25.34,0.0007991646998561919,0.0,0.001007255574222654,0.0,0.10598709853366017
train_37,viscosity,1.8156846229121584,3.81,7.023035868769512e-05,0.0,0.00023613641133124474,0.0,1.8153782561421394
train_38,viscosity,0.10473741858731955,-0.56,0.0007820387254469097,0.0,0.004208496946375817,0.0,0.09974688291549683
train_39,viscosity,0.10843165026744828,15.83,0.0007956414483487606,0.0,0.0012342926929704845,0.0,0.10640171612612903
train_40,viscosity,3.152043923182646,0.71,0.00027053712983615696,0.0,0.0005443919217213988,0.0,3.1512289941310883
train_41,viscosity,4.011698481044732,-12.6,0.0007662042044103146,0.0,0.0017812353326007724,0.0,4.009151041507721
train_42,viscosity,4.116451392066665,-4.77,0.000699927972164005,0.0,0.0019077250617556274,0.0,4.113843739032745
train_43,viscosity,4.151479772117455,-7.86,0.0007059703930281103,0.0,0.0019762300653383136,0.0,4.148797571659088
train_44,viscosity,2.872692496908712,4.35,0.00019915145821869373,0.0,6.0942184063605964e-05,0.0,2.87243240326643
train_45,viscosity,3.2407083649595734,-25.97,0.0002004686393775046,0.0,0.0010690425988286734,0.0,3.239438853721367
train_46,viscosity,2.971172126233796,-23.35,5.444955968414433e-05,0.0,3.9456865124520846e-05,0.0,2.9710782198089873
train_47,viscosity,0.8002055931137875,-12.23,0.0,0.0,0.0,0.0,0.8002055931137875
train_48,viscosity,0.6085606819251552,5.59,0.0,0.0,0.0,0.0,0.6085606819251552
train_49,viscosity,1.8487360179424286,-19.33,0.0,0.0,0.0,0.0,1.8487360179424286
