config_id,hidden_layers,activation,alpha,learning_rate_init,rmse,mae,r2
tanh_wide,"(128, 64)",tanh,0.001,0.0005,24.649196784064305,17.88630723057932,0.5150481197733979
relu_wide,"(128, 128)",relu,0.001,0.0005,25.42955056481934,18.17410138508144,0.4701973550264249
relu_deep,"(256, 128)",relu,0.001,0.0005,26.04835481064337,17.989095027463776,0.46818219003662287
relu_small,"(64, 32)",relu,0.0001,0.001,26.61046570235262,18.76938061440254,0.4388477027688619
relu_mid,"(128, 64)",relu,0.0001,0.001,26.73759225863309,18.906614115794856,0.4119460675104241
tanh_mid,"(64, 64)",tanh,0.001,0.001,29.94133717497315,20.00480075234291,0.24743175582431864
