config_id,hidden_layers,alpha,learning_rate_init,rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2
mlp_1,"(64, 32)",0.0001,0.001,148.64066520131186,26.97441228022396,76.27058423790271,17.628729048727784,-0.2295886931138087,0.3412199176060954,87.80753874076791,46.949656643315244,0.05581561224614331
mlp_5,"(256, 128)",0.001,0.0005,157.71761294397717,20.650881820418284,73.30646277146259,15.070954857585415,-0.3589104925036163,0.6637075867667767,89.18424738219774,44.188708814524,0.15239854713158016
mlp_4,"(128, 128)",0.001,0.0005,156.45936055091175,25.126994140178148,79.73695875260142,17.85139605469659,-0.7096418760839279,0.48636607001803417,90.79317734554495,48.79417740364901,-0.11163790303294693
mlp_3,"(128, 64)",0.001,0.001,178.44611135566205,24.247555031853878,86.26138631273606,17.738478785748033,-1.043157906349167,0.5238763990848498,101.34683319375799,51.99993254924205,-0.25964075363215855
mlp_2,"(128, 64)",0.0001,0.001,178.6986677825507,24.14639750807948,86.0364081625399,17.736001229414576,-1.0446019241208346,0.5274654166170105,101.4225326453151,51.886204695977234,-0.2585682537519121
