experiment,n_features,rmse,mae,r2,delta_rmse_vs_baseline,delta_mae_vs_baseline
baseline_plus_ao_extra,44,28.643625362799213,19.561728684838886,0.3670348029027656,-7.9427205337130005,-0.7016040318658909
baseline_plus_moly,49,30.61112546037804,19.80843987892387,0.2770929561619516,-5.9752204361341725,-0.45489283778090694
full_enhanced,67,31.39969920198816,20.433567074582225,0.23936757118773166,-5.186646694524054,0.17023435787744745
baseline_plus_ao_plus_moly,56,33.69288634147604,20.820526439921544,0.12420936751320333,-2.8934595550361735,0.5571937232167663
baseline_oxidation_focus,37,36.58634589651221,20.263332716704777,-0.03267088740013224,0.0,0.0
baseline_plus_confidence,43,36.79748257314994,20.47216039164793,-0.044624189851057317,0.21113667663772873,0.20882767494315146
baseline_plus_interactions,42,39.56680668017993,21.438194052972914,-0.2077745219007474,2.9804607836677164,1.1748613362681368
