target_name,dataset_name,model_type,config_id,rmse,mae,r2
viscosity,compact_v3_full,mlp,relu_small,182.2636063455749,66.23514882724277,0.1389663762919986
viscosity,viscosity_focus,mlp,relu_wide,182.59532662611596,70.00854322964953,0.13582935692037945
viscosity,compact_v3_full,ridge,alpha_0.3,191.64248927892663,103.12797264291608,0.048072661504144465
viscosity,compact_v3_full,pls,ncomp_12,193.27296502969205,116.37401507701145,0.031805945470352204
viscosity,viscosity_focus,pls,ncomp_2,196.8160092342264,85.2069262046618,-0.004016929637296274
viscosity,viscosity_focus,ridge,alpha_100.0,199.98000014430554,83.12234523449203,-0.03655731679235874
oxidation,compact_v3_full,ridge,alpha_30.0,30.157043923807578,22.958661277793233,0.2983809070087263
oxidation,oxidation_focus_v2,ridge,alpha_100.0,30.362854583750643,23.993394849040104,0.2887716475904142
oxidation,compact_v3_full,pls,ncomp_6,31.103805000587496,23.4239858025349,0.25363562315832855
oxidation,oxidation_focus_v2,pls,ncomp_4,31.74825107149757,23.521782466062312,0.22238706874674996
oxidation,compact_v3_full,mlp,tanh_wide,34.7263832560578,26.873056410390216,0.06965726672759831
oxidation,oxidation_focus_v2,mlp,relu_small,35.82547741697346,26.59368928936648,0.009834398120485588
