component,rank,feature,abs_weight,weight,loading
component_1,1,temperature_c,0.2000577633527518,0.2000577633527518,0.12848879127090532
component_1,2,severity_exp,0.19406200977877391,0.19406200977877391,0.12778920040463645
component_1,3,interaction__biofuel_x_zddp,0.19167169323283675,-0.19167169323283675,-0.15907673526965777
component_1,4,time_x_biofuel,0.17952377252803856,-0.17952377252803856,-0.153347419967172
component_1,5,time_h,0.17436818244831784,-0.17436818244831784,-0.0901771791467594
component_1,6,textnum__antiwear__разветвленность_радикала___радикалов__text_length__wm,0.1669906456168018,-0.1669906456168018,-0.1498537378738837
component_1,7,biofuel_pct,0.1654749465756509,-0.1654749465756509,-0.15325652956180238
component_1,8,textnum__antiwear__разветвленность_радикала___радикалов__text_length__max,0.16166087395487858,-0.16166087395487858,-0.151155704218708
component_1,9,temperature_x_biofuel,0.16097711081550997,-0.16097711081550997,-0.15235321919234096
component_1,10,antioxidant__ionization_ev__max,0.15637816071759653,0.15637816071759653,0.14821175553363594
component_1,11,antioxidant__lumo_ev__max,0.1452007690794223,0.1452007690794223,0.14159779221238183
component_1,12,textnum__antioxidant__тип_ао__ao_type_is_phenol__max,0.1441335327678394,0.1441335327678394,0.1430420632871344
component_1,13,temperature_x_time,0.14097008653396415,-0.14097008653396415,-0.06414623130174993
component_1,14,biofuel_x_catalyst,0.13537530641565848,-0.13537530641565848,-0.1337669656418042
component_1,15,antioxidant__ionization_ev__wm,0.13429342458342006,0.13429342458342006,0.14999084596615384
component_2,1,time_h,0.23578761344456586,0.23578761344456586,0.049591233941984225
component_2,2,temperature_x_time,0.21482148465519046,0.21482148465519046,0.04346489275173747
component_2,3,temperature_c,0.20183946165099165,-0.20183946165099165,-0.04682834291530861
component_2,4,severity_exp,0.18727872575954346,-0.18727872575954346,-0.04402418892510827
component_2,5,base_oil__kv40__max,0.15084877140365485,0.15084877140365485,0.18971173124169952
component_2,6,base_oil__ccs_m15__max,0.1478697264878043,0.1478697264878043,0.1619102598814754
component_2,7,base_oil__kv100__max,0.13714548139909047,0.13714548139909047,0.17856711615953233
component_2,8,catcount__base_oil__группа_по_api__1,0.13564459961636643,0.13564459961636643,0.12589672225275034
component_2,9,detergent__tbn_astm__wm,0.1353460126050064,0.1353460126050064,0.09558051106387805
component_2,10,base_oil__sulfur_mgkg__max,0.13525170552104696,0.13525170552104696,0.11550831355205544
component_2,11,catdose__base_oil__группа_по_api__1,0.130569086817749,0.130569086817749,0.1303738817181224
component_2,12,base_oil__ccs_m15__wm,0.13022813898399285,0.13022813898399285,0.14565477067257854
component_2,13,base_oil__sulfur_mgkg__wm,0.1252766128794834,0.1252766128794834,0.1290515776708724
component_2,14,textnum__base_oil__происхождение__origin_is_hydrocracking__wm,0.1250531503932566,-0.1250531503932566,-0.14156678828312297
component_2,15,base_oil__ccs_m20__max,0.1247806972500401,0.1247806972500401,0.15107846906411543
component_3,1,time_h,0.28858870697121486,0.28858870697121486,0.20302034283483952
component_3,2,temperature_x_time,0.26567798449433905,0.26567798449433905,0.18886576248740944
component_3,3,temperature_c,0.23915297644829486,-0.23915297644829486,-0.16182956288111405
component_3,4,severity_exp,0.2205668516664959,-0.2205668516664959,-0.14789270027825793
component_3,5,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.21290738648643737,0.21290738648643737,0.23958711566995647
component_3,6,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__max,0.20914240346753607,0.20914240346753607,0.23058173652471828
component_3,7,catcount__antiwear__тип_спиртового_радикала__secondary,0.20914240346753607,0.20914240346753607,0.23058173652471828
component_3,8,textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__max,0.2044805315901946,-0.2044805315901946,-0.24544457373437265
component_3,9,textnum__antiwear__разветвленность_радикала___радикалов__branching_is_mixed__wm,0.20441554083520536,-0.20441554083520536,-0.23506571115891894
component_3,10,catcount__antiwear__разветвленность_радикала___радикалов__single,0.200430463496218,0.200430463496218,0.22558207369302408
component_3,11,textnum__detergent__номер_cas__cas_count__wm,0.17284810531533,0.17284810531533,0.20578697135636553
component_3,12,textnum__antiwear__разветвленность_радикала___радикалов__branching_has_ethylhexyl__max,0.16215627145509953,-0.16215627145509953,-0.2262770964880076
component_3,13,catdose__antiwear__тип_спиртового_радикала__secondary,0.15540319975545722,0.15540319975545722,0.1558244448305861
component_3,14,catdose__antiwear__разветвленность_радикала___радикалов__single,0.14885237654459002,0.14885237654459002,0.15589429188529946
component_3,15,textnum__detergent__номер_cas__cas_count__max,0.14845782245262734,0.14845782245262734,0.18693931395157704
component_4,1,time_h,0.2376353061190339,0.2376353061190339,0.24228723726564852
component_4,2,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.22868265441979949,-0.22868265441979949,-0.2927907246613724
