n_components,rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2
6,146.74007569437796,24.218644296921504,74.03725425209132,18.539988057693442,-0.23477513984227008,0.5340808602474985,85.47935999564974,46.288621154892375,0.1496528602026142
4,146.68831208303115,24.98844072248184,74.41546954586397,18.77060396117209,-0.1333219920282927,0.5045393597560539,85.83837640275651,46.59303675351803,0.1856086838638806
5,145.85064941357118,25.92340376984701,74.50836543827019,19.38495206220844,-0.14418603941684954,0.4663469161833703,85.88702659170909,46.94665875023931,0.1610804383832604
7,148.71842747943538,24.228561298803392,77.10971119234974,18.158291567218374,-0.31814238113506305,0.534242213931995,86.4734943891194,47.63400137978405,0.10804991639846602
8,150.32834506165895,25.18410957381918,77.72202507453241,18.62131940040741,-0.3772709551822963,0.48602506902119097,87.75622731773906,48.171672237469906,0.054377056919447345
3,148.61866758967975,27.746791853615832,78.71092784952819,21.14051959035589,-0.1925392397835129,0.3980907021533255,88.18272972164777,49.92572371994204,0.10277573118490631
9,154.87861396531858,23.49842863403601,81.9967514257111,17.92230503855193,-0.5005623754848283,0.5596803944983207,89.18852129967729,49.95952823213152,0.029559009506746215
10,156.49872783219442,22.61708677210668,84.16232617387392,16.892651630816893,-0.5346176024794483,0.5920841696984169,89.55790730215054,50.52748890234541,0.02873328360948423
12,157.11346335350854,23.385048643372116,84.90930530510373,17.51704298072883,-0.6029931863958178,0.5661498069359064,90.24925599844033,51.21317414291627,-0.01842168972995568
2,154.16549675800042,27.617455189263172,87.84878888566448,21.064593353897216,-0.19010076756546374,0.40379059807491047,90.89147597363178,54.45669111978084,0.10684491525472335
11,161.3191147911187,22.49685165170485,85.8809288649623,16.639691138976033,-0.60124776049977,0.5964812053866932,91.90798322141178,51.260310001969174,-0.0023832775565383545
1,157.63414711014678,35.85621828187011,88.6881386947312,31.088718815481734,-0.2148596302558523,-0.006549523239305644,96.74518269600847,59.88842875510646,-0.11070457674757898
