model_name,feature_set,experiment_type,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
addon_ridge__chem5_core,chem5_core,addon,28.64602297925624,4.795568039646003,22.161786596941525,5.965572831611141,-0.3960557200376621,1.4811850382445444
addon_ridge__chem7_core_mo,chem7_core_mo,addon,29.38382187974083,5.476300392588657,22.171054001158428,6.451305288138157,-0.4617687204812605,1.541661163798479
addon_ridge__chem8_core_mo_zddp,chem8_core_mo_zddp,addon,29.458702892129782,4.9021434794104035,22.189513368605667,6.221129779257031,-0.4537110202027924,1.4831222932606871
backbone_ridge,compact_v3_full,backbone,29.64602263797668,6.836332892131027,22.964421748547274,6.999239035144909,-0.6412827526285356,2.0220342758276653
addon_ridge__chem10_balanced,chem10_balanced,addon,29.766217916735826,4.557523498202897,22.417569322660814,6.1327639700484555,-0.46235225810030445,1.470785549936886
standalone_ridge__chem8_core_mo_zddp,chem8_core_mo_zddp,standalone,32.78262406934952,8.437694128592028,27.49182802014051,7.82334576724999,-0.4185369154741384,0.6866282456799349
standalone_mlp__chem5_core,chem5_core,standalone,33.095845217044065,10.825949408694141,27.51924634636394,10.562370445648481,-0.3255552874319874,0.7051530171765669
standalone_pls__chem8_core_mo_zddp,chem8_core_mo_zddp,standalone,33.21462122249212,8.389653903515494,27.659496152489687,7.568275561919427,-0.4953957041828918,0.7602885325834254
standalone_ridge__chem7_core_mo,chem7_core_mo,standalone,33.253928893840296,8.160010463881754,28.63654218267333,8.690606849111923,-0.44359235117711127,0.7095483053163013
standalone_mlp__chem8_core_mo_zddp,chem8_core_mo_zddp,standalone,33.467219115828854,7.4837332889937676,27.417239447855316,7.320573260502946,-0.8270074353835997,1.5336459710999855
standalone_pls__chem7_core_mo,chem7_core_mo,standalone,33.57270613603002,7.6687633817858725,28.748254210053865,8.007664131862791,-0.513131997930954,0.7725675197544761
standalone_pls__chem10_balanced,chem10_balanced,standalone,34.31711222028728,7.708709453821946,27.83913492009372,7.35940255866034,-0.5869165804782553,0.8234516969508354
standalone_mlp__chem7_core_mo,chem7_core_mo,standalone,34.625137833124136,8.882351517479147,28.70432706836106,8.175050380861492,-0.5637213948581273,0.7379410524345864
standalone_ridge__chem5_core,chem5_core,standalone,35.15264864127586,7.668780029455314,30.79504177688351,6.953611596484746,-0.5914761309217099,0.728724646629628
standalone_ridge__chem10_balanced,chem10_balanced,standalone,35.30073303740043,8.156746660004693,28.811147001190655,7.892942845158101,-0.6042174888285244,0.7474238834744815
standalone_pls__chem5_core,chem5_core,standalone,35.3438448031624,8.19333010884277,30.59618220862193,7.2786677419131705,-0.5994400796062704,0.7162731978665375
standalone_mlp__chem10_balanced,chem10_balanced,standalone,38.65707998023521,5.500519628994065,32.40699430389679,4.772125186803601,-1.2412228570075825,1.6790055943476658
