model_name,fold,rmse,mae,r2,feature_set,experiment_type
backbone_ridge,1.0,25.504922088761433,19.780713685230907,0.048520732331417515,compact_v3_full,backbone
backbone_ridge,2.0,26.77267983358819,19.597488053407165,0.5850416530008296,compact_v3_full,backbone
backbone_ridge,3.0,39.43584507582819,35.20679967726696,-0.0711618800809064,compact_v3_full,backbone
backbone_ridge,4.0,22.697533282759927,18.06777319260153,0.45642987308992,compact_v3_full,backbone
backbone_ridge,5.0,33.819132908945676,22.169334134229803,-4.225244141483939,compact_v3_full,backbone
backbone_ridge,,30.541124727627455,23.28881494761525,0.2803954262300399,compact_v3_full,backbone
standalone_ridge__chem5_core,1.0,41.0704296562812,33.94010134071564,-1.4672310368852504,chem5_core,standalone
standalone_ridge__chem5_core,2.0,35.9169871570701,33.51123913148152,0.25317196087390337,chem5_core,standalone
standalone_ridge__chem5_core,3.0,39.14118846543559,35.04256005501965,-0.05521467339429842,chem5_core,standalone
standalone_ridge__chem5_core,4.0,37.77961974901866,33.055250876280766,-0.5059599518908671,chem5_core,standalone
standalone_ridge__chem5_core,5.0,21.855018178573758,18.426057480919972,-1.1821469533120372,chem5_core,standalone
standalone_ridge__chem5_core,,35.909085266540906,30.861518963399362,0.005207399498568299,chem5_core,standalone
standalone_pls__chem5_core,1.0,41.10187325940096,33.8249378087495,-1.4710103170805935,chem5_core,standalone
standalone_pls__chem5_core,2.0,35.02223366753925,31.656337418909537,0.2899180082741173,chem5_core,standalone
standalone_pls__chem5_core,3.0,39.47996343061167,35.14587402225918,-0.07355991843180454,chem5_core,standalone
standalone_pls__chem5_core,4.0,39.840359497210784,34.56160154851321,-0.6747298266738875,chem5_core,standalone
standalone_pls__chem5_core,5.0,21.274794161049332,17.792160244678225,-1.0678183441191837,chem5_core,standalone
standalone_pls__chem5_core,,36.222814785639855,30.70985718445174,-0.01225108806226749,chem5_core,standalone
standalone_mlp__chem5_core,1.0,41.388774748238724,33.72011360262364,-1.5056272705582217,chem5_core,standalone
standalone_mlp__chem5_core,2.0,32.70217863431382,27.09460749436501,0.3808809187829364,chem5_core,standalone
standalone_mlp__chem5_core,3.0,41.8079960342152,36.851845595721265,-0.20390303027341483,chem5_core,standalone
standalone_mlp__chem5_core,4.0,34.43394368540879,30.12327382611321,-0.25104170491781397,chem5_core,standalone
standalone_mlp__chem5_core,5.0,15.146332983043795,9.806391212996566,-0.04808535019342308,chem5_core,standalone
standalone_mlp__chem5_core,,34.70749104961863,27.766002879496728,0.0706692607406888,chem5_core,standalone
addon_ridge__chem5_core,1.0,25.05068341791512,18.797437842379644,0.08211032582134492,chem5_core,addon
addon_ridge__chem5_core,2.0,25.08830241652067,18.345348146713025,0.6356125857801468,chem5_core,addon
addon_ridge__chem5_core,3.0,36.54398647565079,32.64871281601745,0.08017618796818526,chem5_core,addon
addon_ridge__chem5_core,4.0,26.904122276117366,21.22540835355557,0.23627692207953876,chem5_core,addon
addon_ridge__chem5_core,5.0,29.643020310077247,19.792025826041932,-3.014454621837526,chem5_core,addon
addon_ridge__chem5_core,,29.222581254144924,22.475922177681667,0.3411887426302873,chem5_core,addon
standalone_ridge__chem7_core_mo,1.0,40.169853164601626,32.808545870725624,-1.3602163561974203,chem7_core_mo,standalone
standalone_ridge__chem7_core_mo,2.0,30.602000023210476,28.261564566647948,0.45784878126065687,chem7_core_mo,standalone
standalone_ridge__chem7_core_mo,3.0,38.20003990859238,35.145142711733655,-0.005079554253974106,chem7_core_mo,standalone
standalone_ridge__chem7_core_mo,4.0,37.15191348391127,33.20729602516626,-0.45633280129280673,chem7_core_mo,standalone
standalone_ridge__chem7_core_mo,5.0,20.145837888885737,13.760161739093176,-0.8541818254020119,chem7_core_mo,standalone
standalone_ridge__chem7_core_mo,,34.22871612221808,28.826542714450635,0.09613185478100916,chem7_core_mo,standalone
standalone_pls__chem7_core_mo,1.0,39.99983146566919,32.33270770200813,-1.3402790786870278,chem7_core_mo,standalone
standalone_pls__chem7_core_mo,2.0,29.834802660401312,27.117889239499984,0.484691679067927,chem7_core_mo,standalone
standalone_pls__chem7_core_mo,3.0,37.91467449682841,34.93265459419136,0.009880830395515128,chem7_core_mo,standalone
standalone_pls__chem7_core_mo,4.0,38.315087707652,33.88824516739346,-0.548951808268987,chem7_core_mo,standalone
standalone_pls__chem7_core_mo,5.0,21.79913434959923,15.469774347176395,-1.171001612162197,chem7_core_mo,standalone
standalone_pls__chem7_core_mo,,34.45787059895021,28.95644994302125,0.08398890656250801,chem7_core_mo,standalone
standalone_mlp__chem7_core_mo,1.0,40.63948316706358,32.91424247912174,-1.4157260333434376,chem7_core_mo,standalone
standalone_mlp__chem7_core_mo,2.0,30.365481172814732,25.579356847005638,0.4661968271656268,chem7_core_mo,standalone
standalone_mlp__chem7_core_mo,3.0,43.93825245118445,36.22700289008192,-0.3297143782664633,chem7_core_mo,standalone
standalone_mlp__chem7_core_mo,4.0,36.61737100269897,32.95039220558026,-0.41472679272002844,chem7_core_mo,standalone
standalone_mlp__chem7_core_mo,5.0,21.565101371858947,15.850640920015746,-1.124636597126334,chem7_core_mo,standalone
standalone_mlp__chem7_core_mo,,35.8414461617846,28.966073649727342,0.008951494282847583,chem7_core_mo,standalone
addon_ridge__chem7_core_mo,1.0,25.665261431720964,18.842025871474654,0.03651998197819284,chem7_core_mo,addon
addon_ridge__chem7_core_mo,2.0,25.61679709291745,18.658619082663726,0.6200989685287817,chem7_core_mo,addon
addon_ridge__chem7_core_mo,3.0,38.577196543788915,33.499310734567494,-0.02502423245991059,chem7_core_mo,addon
addon_ridge__chem7_core_mo,4.0,26.802952016426918,21.454528622224707,0.24200993099808055,chem7_core_mo,addon
addon_ridge__chem7_core_mo,5.0,30.256902313849892,18.40078569486155,-3.182448251451447,chem7_core_mo,addon
addon_ridge__chem7_core_mo,,30.08209158537774,22.501196553914035,0.3018641821416215,chem7_core_mo,addon
standalone_ridge__chem8_core_mo_zddp,1.0,38.22520380714529,30.853208194520853,-1.1372284489148599,chem8_core_mo_zddp,standalone
standalone_ridge__chem8_core_mo_zddp,2.0,28.002476073779363,24.378034197353283,0.5460440782291239,chem8_core_mo_zddp,standalone
standalone_ridge__chem8_core_mo_zddp,3.0,42.44021225379175,36.25848173833476,-0.24058892472369675,chem8_core_mo_zddp,standalone
standalone_ridge__chem8_core_mo_zddp,4.0,34.17192035115323,30.27654890149147,-0.23207466907285812,chem8_core_mo_zddp,standalone
standalone_ridge__chem8_core_mo_zddp,5.0,21.07330786087794,15.69286706900218,-1.028836612888401,chem8_core_mo_zddp,standalone
standalone_ridge__chem8_core_mo_zddp,,33.97280185498404,27.774419141233256,0.10959704215649979,chem8_core_mo_zddp,standalone
standalone_pls__chem8_core_mo_zddp,1.0,37.704088006543095,30.472895969463263,-1.0793529273319216,chem8_core_mo_zddp,standalone
standalone_pls__chem8_core_mo_zddp,2.0,26.726964820226428,22.74302831129325,0.5864575464243835,chem8_core_mo_zddp,standalone
standalone_pls__chem8_core_mo_zddp,3.0,43.363248546183506,36.536017841712805,-0.2951391297770105,chem8_core_mo_zddp,standalone
standalone_pls__chem8_core_mo_zddp,4.0,35.58497134904226,31.17551626543528,-0.3360770339279966,chem8_core_mo_zddp,standalone
standalone_pls__chem8_core_mo_zddp,5.0,22.693833390465308,17.37002237454384,-1.3528669763019137,chem8_core_mo_zddp,standalone
