fold,target_name,model_name,rmse,mae,r2
1.0,viscosity,viscosity_backbone_mlp,50.88482601468008,36.709661325590695,-2.707882677502344
1.0,viscosity,viscosity_backbone_plus_residual_ridge_v3,337.79151283194386,320.99253375158924,-162.39804770133327
1.0,oxidation,oxidation_backbone_ridge,25.504922088761433,19.780713685230907,0.048520732331417515
1.0,oxidation,oxidation_direct_addon_ridge_v3,29.261508926857758,21.482469330601578,-0.2524049124734906
1.0,oxidation,oxidation_direct_addon_pls_v3,32.983197773929874,25.478260982217613,-0.5912442415033432
1.0,oxidation,oxidation_backbone_plus_residual_ridge_v3,29.252238435227984,21.795078714687758,-0.25161147628330927
1.0,oxidation,oxidation_backbone_plus_residual_pls_v3,34.14313958342614,26.15307407447939,-0.7051329009697742
2.0,viscosity,viscosity_backbone_mlp,20.671148529753516,17.7739621149396,0.04044730773209526
2.0,viscosity,viscosity_backbone_plus_residual_ridge_v3,56.06919640029727,45.54489235946789,-6.059733005196814
2.0,oxidation,oxidation_backbone_ridge,26.77267983358819,19.597488053407165,0.5850416530008296
2.0,oxidation,oxidation_direct_addon_ridge_v3,30.381960389507796,22.951965072482345,0.4656172845553269
2.0,oxidation,oxidation_direct_addon_pls_v3,30.924253280502107,22.07622992751017,0.44637045404633835
2.0,oxidation,oxidation_backbone_plus_residual_ridge_v3,28.724391723754877,21.46473648256693,0.5223360149759437
2.0,oxidation,oxidation_backbone_plus_residual_pls_v3,29.618566133277014,22.70696767496349,0.4921343075710234
3.0,viscosity,viscosity_backbone_mlp,399.81897117947904,232.6969002272771,-0.2618018323822553
3.0,viscosity,viscosity_backbone_plus_residual_ridge_v3,403.1718038534429,233.28858828665278,-0.28305319565901343
3.0,oxidation,oxidation_backbone_ridge,39.43584507582819,35.20679967726696,-0.0711618800809064
3.0,oxidation,oxidation_direct_addon_ridge_v3,38.58246735520632,33.98079793865043,-0.025304350197764558
3.0,oxidation,oxidation_direct_addon_pls_v3,41.28878348785658,36.049172950009584,-0.17418622104752135
3.0,oxidation,oxidation_backbone_plus_residual_ridge_v3,44.76154049614491,38.1565390706996,-0.38001197334942605
3.0,oxidation,oxidation_backbone_plus_residual_pls_v3,45.23310790603789,37.733648949260356,-0.40924227337576724
4.0,viscosity,viscosity_backbone_mlp,73.09952364121091,29.870803300730515,-5.200991532026977
4.0,viscosity,viscosity_backbone_plus_residual_ridge_v3,83.08836540886757,70.14895537277245,-7.011474874487986
4.0,oxidation,oxidation_backbone_ridge,22.697533282759927,18.06777319260153,0.45642987308992
4.0,oxidation,oxidation_direct_addon_ridge_v3,23.791897148952675,19.93927568803876,0.40274966034337334
4.0,oxidation,oxidation_direct_addon_pls_v3,27.391307784740032,22.767640239212742,0.2083671752496098
4.0,oxidation,oxidation_backbone_plus_residual_ridge_v3,22.796167508520945,17.711817257249002,0.4516953399067748
4.0,oxidation,oxidation_backbone_plus_residual_pls_v3,25.384470262882097,20.318828368238925,0.32011655336428013
5.0,viscosity,viscosity_backbone_mlp,111.67409130180093,64.27999724310844,-8.158215099788526
5.0,viscosity,viscosity_backbone_plus_residual_ridge_v3,194.35831157565374,169.55869267782717,-26.740368142243838
5.0,oxidation,oxidation_backbone_ridge,33.819132908945676,22.169334134229803,-4.225244141483939
5.0,oxidation,oxidation_direct_addon_ridge_v3,34.56343963640103,19.85377251734113,-4.4577741616568
5.0,oxidation,oxidation_direct_addon_pls_v3,37.54962975839569,23.303415640183683,-5.441588359229797
5.0,oxidation,oxidation_backbone_plus_residual_ridge_v3,30.530105381773787,24.657983136679203,-3.2583196321260983
5.0,oxidation,oxidation_backbone_plus_residual_pls_v3,32.40789210628071,26.932653510138373,-3.798253829792131
,viscosity,viscosity_backbone_mlp,198.89115028020763,80.7860492026907,-0.02530036464677532
,viscosity,viscosity_backbone_plus_residual_ridge_v3,260.75980448309974,171.0855059415281,-0.7623878346183104
,oxidation,oxidation_backbone_ridge,30.541124727627455,23.28881494761525,0.2803954262300399
,oxidation,oxidation_direct_addon_ridge_v3,31.87689878681585,23.879519941796193,0.2160723391563083
,oxidation,oxidation_direct_addon_pls_v3,34.580874937883195,26.22755325537806,0.07743746027876319
,oxidation,oxidation_backbone_plus_residual_ridge_v3,32.42228282969705,25.095130945715383,0.1890183236798053
,oxidation,oxidation_backbone_plus_residual_pls_v3,34.35099810353741,27.066007282539204,0.08966218670727333
