experiment,rmse,mae,r2,n_features,delta_rmse_vs_regime,delta_mae_vs_regime
regime_plus_base_oil_plus_antiwear,132.88659921884033,46.21369415012954,0.5422982558465252,38,-26.75714633365169,-12.55578189111845
targetwise_focus,133.8962114763174,46.91597378216517,0.5353170145150292,39,-25.747534076174617,-11.853502259082823
regime_plus_antiwear,137.54332771500827,48.74246640724958,0.5096578266005529,29,-22.100417837483747,-10.02700963399841
all_blocks,139.60781634786747,49.17655818996874,0.4948275461299888,49,-20.03592920462455,-9.592917851279253
regime_plus_base_oil,156.33126053251002,55.84906737155739,0.3665507121026935,27,-3.312485019982006,-2.9204086696906018
regime_only,159.64374555249202,58.76947604124799,0.33942214554994765,18,0.0,0.0
regime_plus_antioxidant,161.08370974657694,56.41012903379224,0.32745176314698243,27,1.4399641940849222,-2.359347007455753
