experiment,rmse,mae,r2,n_features,delta_rmse_vs_all,delta_mae_vs_all
without_antioxidant,133.67532314311865,46.42931650007426,0.5368489232071949,40,-5.932493204748823,-2.74724168989448
without_detergent,136.46864508956705,48.614119323773274,0.5172903819075654,47,-3.139171258300422,-0.562438866195464
without_base_oil,136.49138568458807,47.774244962060756,0.5171294948624692,40,-3.1164306632794023,-1.4023132279079817
all_blocks,139.60781634786747,49.17655818996874,0.4948275461299888,49,0.0,0.0
without_antiwear_zddp,151.0148532236095,55.4037807214489,0.4089019554903712,38,11.407036875742023,6.227222531480166
