experiment,rmse,mae,r2,n_features,delta_rmse_vs_regime,delta_mae_vs_regime
all_blocks,24.774528948399777,16.344332733762034,0.5264839836547031,49,-16.627273310313996,-12.234990226216677
regime_plus_antiwear,29.28901992269286,22.552499620777855,0.3381896715082844,29,-12.112782336020913,-6.026823339200856
regime_plus_antioxidant,33.355048014302795,24.67381982421979,0.1416844076620024,27,-8.046754244410977,-3.90550313575892
targetwise_focus,36.58634589651221,20.263332716704777,-0.03267088740013224,37,-4.815456362201559,-8.315990243273934
regime_plus_antioxidant_plus_detergent,37.35815489540006,25.064974115960283,-0.07669996437402316,29,-4.04364736331371,-3.5143488440184285
regime_only,41.40180225871377,28.57932295997871,-0.32239852246564427,18,0.0,0.0
regime_plus_detergent,42.056014538552546,28.184518880812586,-0.36452057963094653,20,0.6542122798387737,-0.3948040791661249
