experiment,rmse,mae,r2,n_features,delta_rmse_vs_all,delta_mae_vs_all
without_antioxidant,23.566925677812538,16.498274641775804,0.571520818063183,40,-1.2076032705872386,0.1539419080137705
all_blocks,24.774528948399777,16.344332733762034,0.5264839836547031,49,0.0,0.0
without_detergent,25.927530212171632,16.4225998335337,0.48138370317614787,47,1.1530012637718556,0.07826709977166502
without_antiwear_zddp,27.089711187027433,17.384006071855058,0.43384856615009026,38,2.3151822386276564,1.0396733380930243
without_base_oil,29.20637017579525,21.511542274553737,0.3419194842761959,40,4.4318412273954735,5.167209540791703
