n_components,rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2
6,154.19898883595738,28.29049404160628,82.15827448206257,21.7636152351642,-0.3400087504022459,0.3704285901294183,91.24474143878183,51.96094485861338,0.015209919863586208
7,155.8286981269695,26.84719421243624,84.50559779681751,20.189063108990396,-0.4434777554574569,0.4236922521014977,91.33794616970286,52.347330452903954,-0.009892751677979584
8,157.76142380819275,25.006240911503372,87.06076429862317,19.338347016595016,-0.5358319499345645,0.495319516031857,91.38383235984806,53.19955565760908,-0.020256216951353732
5,154.36087144083314,29.156633321029698,80.3877146901063,22.272480690804905,-0.3359070783119486,0.3288376131845049,91.75875238093143,51.3300976904556,-0.003534732563721832
4,155.38681998873886,32.47549375523734,81.20446226990569,26.02378762615684,-0.3310040996526201,0.1689398674621621,93.93115687198811,53.61412494803126,-0.08103211609522903
3,155.84902182621084,32.76674274646437,80.75166724505786,26.515753370450103,-0.2678290955027941,0.15590163048252223,94.30788228633762,53.63371030775399,-0.05596373251013596
9,163.44417164295746,25.442520290289075,90.5689342615919,19.42048656642956,-0.7454540050386591,0.4800654707540165,94.44334596662327,54.994710414010726,-0.1326942671423213
2,157.13192614430415,35.93849038656251,83.0537852497912,30.96795295183167,-0.2491763012788534,-0.011151316695538283,96.53520826543334,57.01086910081144,-0.13016380898719584
1,159.9594977036989,35.85917630457253,88.0626069508622,31.061022160802803,-0.16460123026255621,-0.005094989939879624,97.90933700413572,59.561814555832505,-0.08484811010121793
10,186.79660718747192,25.529799518464777,104.14543185190101,19.40825386072466,-2.449920895072273,0.4769239781677189,106.16320335296837,61.776842856312825,-0.9864984584522769
11,226.25789445258778,25.550615604953734,117.61347994017206,19.543550462728653,-7.657724488466009,0.4750764625951849,125.90425502877076,68.57851520145036,-3.591324012935413
12,251.03270289119928,25.63723088371085,127.59751486669998,19.14463197190028,-12.055148525785189,0.4753714538925372,138.33496688745507,73.37107341930013,-5.789888535946327
