rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2,config_id,hidden_layers,alpha,learning_rate_init,fold
97.89740390161543,32.32920823072771,56.16627142291154,26.187231661292017,0.4934415689959909,0.1896567272316837,65.11330606617157,41.17675154210178,0.3415491481138373,mlp_1,"(64, 32)",0.0001,0.001,1
75.09888542394889,27.17227765145859,57.09329305483269,22.216384987467656,0.43967679564480877,0.1765380449457763,51.135581537703736,39.654839021150174,0.30810742029529253,mlp_1,"(64, 32)",0.0001,0.001,2
241.69134974455122,22.04523849627434,72.28152268963863,15.432440607806234,0.4252937395132802,0.6852725513394462,131.86829412041277,43.85698164872243,0.5552831454263631,mlp_1,"(64, 32)",0.0001,0.001,3
130.4209405812935,19.11139138449872,62.50160590703619,13.550268671129492,0.6416562401350527,0.6631107263269935,74.76616598289611,38.02593728908284,0.6523834832310231,mlp_1,"(64, 32)",0.0001,0.001,4
106.27599022621965,20.290776124566445,50.97895887613656,13.485336678159467,0.1007822387288243,0.7431411519713844,63.28338317539305,32.232147777148015,0.42196169535010436,mlp_1,"(64, 32)",0.0001,0.001,5
109.16107687605724,24.830407718191772,46.17179720599265,17.208830748266042,0.37017075781475794,0.521979418751791,66.99574229712451,31.690313977129343,0.44607508828327447,mlp_2,"(128, 64)",0.0001,0.001,1
63.5096374037035,21.288669178218676,29.772331515840982,14.766345533359058,0.5992708903295692,0.4945380388169319,42.39915329096109,22.26933852460002,0.5469044645732506,mlp_2,"(128, 64)",0.0001,0.001,2
257.1524710296609,25.655326442195136,97.5951520592835,20.840282873719314,0.3494133943192823,0.5737542045665434,141.403898735928,59.21771746650141,0.46158379944291283,mlp_2,"(128, 64)",0.0001,0.001,3
144.13436985310096,21.90345747514945,66.75979223425826,14.750283993948491,0.5623365316554916,0.5574850798213792,83.01891366412521,40.75503811410337,0.5599108057384354,mlp_2,"(128, 64)",0.0001,0.001,4
95.03522103142411,22.283524295245158,45.916176593971684,15.33661871089577,0.28094231149922966,0.6902117299454347,58.659372663334636,30.626397652433727,0.48557702072233216,mlp_2,"(128, 64)",0.0001,0.001,5
107.92408955912389,24.880489852753865,45.80430633075795,17.3149163242956,0.3843640320294518,0.5200491697808962,66.40228970593887,31.559611327526774,0.452206600905174,mlp_3,"(128, 64)",0.001,0.001,1
63.71880704463553,21.415360757280645,29.88234743186754,14.84356882657435,0.5966269326870304,0.4885040005263235,42.56708390095809,22.362958129220946,0.5425654666066769,mlp_3,"(128, 64)",0.001,0.001,2
257.1030484175584,25.661663912031926,97.57757161046395,20.84068527125011,0.34966344518975745,0.5735435930568813,141.38235616479517,59.20912844085703,0.4616035191233194,mlp_3,"(128, 64)",0.001,0.001,3
144.00460378328592,21.830635515347623,66.5138848475455,14.765941635049362,0.5631242452606936,0.5604226283983773,82.91761964931678,40.63991324129743,0.5617734368295355,mlp_3,"(128, 64)",0.001,0.001,4
98.712677050679,23.35163465980205,47.934731070384615,15.521248154317005,0.2242167186866807,0.659801975796058,61.032155855240525,31.72798961235081,0.44200934724136937,mlp_3,"(128, 64)",0.001,0.001,5
101.51542015277387,20.778686906963493,65.5550473625371,17.31014495172845,0.4553077066051342,0.6652542341127454,61.147053529868685,41.43259615713277,0.5602809703589398,mlp_4,"(128, 128)",0.001,0.0005,1
66.43843637852636,21.080762126423178,26.70883423621019,15.009833010989759,0.5614587696541957,0.5043626032791615,43.75959925247477,20.859333623599973,0.5329106864666786,mlp_4,"(128, 128)",0.001,0.0005,2
230.2160361377154,21.46101386944477,74.68066303393343,14.815424126883,0.478571388433054,0.7017328060953605,125.83852500358009,44.748043580408215,0.5901520972642073,mlp_4,"(128, 128)",0.001,0.0005,3
140.54868405800883,18.927612773217415,63.13168682205801,12.754552478456008,0.5838415113575322,0.6695587507641425,79.73814841561313,37.94311965025701,0.6267001310608373,mlp_4,"(128, 128)",0.001,0.0005,4
83.82165035433694,19.456227432425834,41.766400642101345,12.168077309874592,0.4406199534147345,0.7638355732918495,51.638938893381386,26.967238975987968,0.602227763353292,mlp_4,"(128, 128)",0.001,0.0005,5
104.58237419749136,24.240386874945482,70.19373669663058,21.447901318205737,0.4218983732101881,0.54442698895572,64.41138053621842,45.82081900741816,0.483162681082954,mlp_5,"(256, 128)",0.001,0.0005,1
88.37147399412146,28.64608621244998,62.2465941819595,24.832761171791255,0.22411773881582908,0.08478729366961413,58.508780103285716,43.53967767687538,0.1544525162427216,mlp_5,"(256, 128)",0.001,0.0005,2
240.63739981664583,21.09426539620717,82.30462557215576,15.677366626314035,0.43029508483256684,0.7118399110932376,130.8658326064265,48.9909960992349,0.5710674979629022,mlp_5,"(256, 128)",0.001,0.0005,3
129.0142548371299,18.639587378364663,57.01020268934172,12.076963847270088,0.6493445551466239,0.6795390182190457,73.82692110774728,34.5435832683059,0.6644417866828348,mlp_5,"(256, 128)",0.001,0.0005,4
110.71249704023263,20.491208481369732,58.84579248828391,14.454053032440976,0.024139255438345275,0.7380415838014192,65.60185276080118,36.64992276036244,0.3810904196198822,mlp_5,"(256, 128)",0.001,0.0005,5
