config_id,hidden_layers,alpha,learning_rate_init,rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2
mlp_4,"(128, 128)",0.001,0.0005,124.50804541627228,20.340860621694937,54.36852641936802,14.411606375586363,0.5039598658929301,0.6609487935086519,72.42445301898361,34.390066397477185,0.582454329700791
mlp_1,"(64, 32)",0.0001,0.001,130.27691397552573,24.18977837750516,59.804330390111126,18.174332521170975,0.4201701166035914,0.4915438403630568,77.23334617651545,38.98933145564105,0.45585697848332407
mlp_2,"(128, 64)",0.0001,0.001,133.79855523878933,23.192277021800038,57.24304992186942,16.580472372037736,0.4324267771236661,0.5675936943804161,78.49541613029469,36.91176114695357,0.5000102357520411
mlp_5,"(256, 128)",0.001,0.0005,134.66359997712422,22.622306868667405,66.1201903256743,17.697809199204418,0.3499590014887106,0.5517269591478073,78.64295342289581,41.90899976243936,0.45084298031825903
mlp_3,"(128, 64)",0.001,0.001,134.29264517105656,23.42795693944322,57.542568258203914,16.657272042297286,0.4235990747707228,0.5604642735117074,78.86030105524989,37.0999201502506,0.492031674141215
