component,target_viscosity,target_oxidation
component_1,-0.6387929715366898,-0.1761753534455763
component_2,0.24312570329717156,0.5998477817121629
component_3,0.13956978878698398,-0.15285036275022693
component_4,0.097739912847083,0.36275069461104326
component_5,0.10466166131545085,-0.20109746705679254
component_6,-0.13004327909387312,-0.2913645711569797
component_7,-0.09872009393294287,0.04366281367695775
component_8,-0.10528590154013164,-0.019432148926066928
component_9,-0.06786612427561312,0.009231307031307291
component_10,0.05248836764625752,0.10216286587202072
component_11,-0.06860332505260995,-0.20556180504212432
component_12,0.05818544906522408,0.13235099385696694
