rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2,n_components,fold
113.12653269582445,36.23885252706936,74.64759603996856,31.384645818918028,0.32358045115001133,-0.01818751957562026,74.68269261144691,53.0161209294433,0.15269646578719553,1,1
98.46756843429583,30.69437647049508,66.29403671243304,28.438918871186633,0.036707781294530895,-0.050773430258916674,64.58097245239546,47.366477791809835,-0.00703282448219289,1,2
267.15800070167717,38.53480260432936,99.44670646664875,32.24771316497092,0.29780119926728754,0.03836271144702741,152.84640165300326,65.84720981580983,0.16808195535715748,1,3
143.9581751630828,31.3915311129826,78.80516606401409,27.756359866442136,0.5634059066540844,0.09107600625816847,87.6748531380327,53.280762965228114,0.32724095645612644,1,4
98.97327997120654,40.35343262219626,68.19625368760647,35.17027772406784,0.22011515316183894,-0.015916886066002833,69.6633562967014,51.68326570583716,0.10209913354791805,1,5
108.4550885839698,28.116653221312006,71.69325136848506,22.972984377734562,0.37829112841559787,0.38707668313394583,68.28587090264091,47.33311787310981,0.38268390577477185,2,1
92.94501788506528,27.602938271338335,62.632121630217355,22.253530784752733,0.14173015167445924,0.15022865904530924,60.27397807820181,42.44282620748504,0.14597940535988424,2,2
259.61381799983536,29.869200535522115,94.1775703261168,23.638961366863157,0.33689955055866216,0.4222336886119099,144.74150926767874,58.908265846489975,0.37956661958528604,2,3
135.19678821473235,24.31521275456867,69.79090782633754,20.55607573767194,0.6149315479386768,0.45467084340155783,79.75600048465051,45.173491782004746,0.5348011956701173,2,4
98.00350358192993,33.91185015924609,62.89047312641163,28.01069226401638,0.2353234718293683,0.2825358894620581,65.95767687058802,45.450582695214,0.2589296806457132,2,5
107.4723175420156,27.40638723518401,67.4440887251092,21.80896372338037,0.3895073690151104,0.4176521538294252,67.4393523885998,44.626526224244785,0.4035797614222678,3,1
93.92803058355149,27.601660749082406,57.95944548532992,21.471260097685516,0.1234795400470764,0.15030731564830413,60.764845666316944,39.71535279150772,0.13689342784769026,3,2
255.49134528965052,30.155632489439267,91.88288536374421,23.334684622921138,0.3577914249722486,0.411099528964569,142.8234888895449,57.60878499333268,0.3844454769684088,3,3
135.9539688857388,23.805446698764413,66.1794640131005,19.970968914927695,0.6106062549567768,0.47729670124654033,79.8797077922516,43.0752164640141,0.5439514781016586,3,4
102.60626045792712,32.28739238209638,66.65093854094242,26.233494907816105,0.16181038510508272,0.3496260235756511,67.44682642001175,46.442216724379264,0.2557182043403669,3,5
106.93759643994373,24.002732893372517,63.997755777746974,18.947511382343833,0.39556718426527604,0.5533161213297589,65.47016466665812,41.472633580045404,0.4744416527975175,4,1
91.76571096116237,28.380212408454092,57.3545030421779,22.40932602659766,0.16337181295016479,0.10169723827795973,60.072961684808234,39.88191453438778,0.13253452561406226,4,2
254.97521520727707,22.1533229378373,89.93313644662638,18.06650588059891,0.3603835156138374,0.6821788646039364,138.56426907255718,53.999821163612644,0.521281190108887,4,3
139.08151177330282,23.80719725699331,66.67132609684872,17.84764584171119,0.5924846279499797,0.4772198233608994,81.44435451514806,42.25948596927995,0.5348522256554396,4,4
108.89809345605431,32.14055618167226,72.3042643319816,25.999976257583523,0.05586280179437175,0.3555280976180498,70.51932481886328,49.15212029478256,0.2056954497062108,4,5
105.01969884828215,22.617317516835275,67.53434917682014,18.19720666970834,0.4170534518802176,0.6033923525846623,63.81850818255871,42.86577792326424,0.5102229022324399,5,1
