experiment,mean_rmse,mean_mae,mean_r2,viscosity_rmse,viscosity_mae,oxidation_rmse,oxidation_mae,global_columns,delta_mean_rmse_vs_baseline,delta_viscosity_rmse_vs_baseline,delta_oxidation_rmse_vs_baseline
oxidation_o2,91.27058489529712,40.37601375579834,0.6684819459915161,159.59050992892716,66.58171844482422,22.950659861667106,14.17030906677246,"['Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C', 'Время испытания | - Daimler Oxidation Test (DOT), ч', 'Количество биотоплива | - Daimler Oxidation Test (DOT), % масс', 'Дозировка катализатора, категория', 'synergy_ao_phenol_x_diphenylamine_active_no', 'synergy_ao_diphenylamine_active_no_x_mo', 'synergy_zn_x_boron_dispersant', 'synergy_aw_sulfur_x_ca_ca_mg', 'ao_k_avg_weighted_active_no', 'ao_k_avg_arithmetic', 'ao_ionization_min', 'ao_homo_max', 'o2_salicylate_tbn_x_amine_ao', 'o2_salicylate_tbn_x_phenol_ao', 'o2_salicylate_tbn_x_amine_x_phenol', 'o2_ca_salicylate_present', 'o2_mg_detergent_present']",-8.972220318377126,-19.289430822195072,1.3449901854408424
oxidation_o2_core3_plus_ca,98.92209420619864,42.94521951675415,0.6823755204677582,177.56743877327284,71.82170867919922,20.27674963912447,14.068730354309082,oxidation_o2_core3_plus_ca,-1.3207110074755946,-1.3125019778493936,-1.328920037101792
baseline_existing,100.24280521367425,42.53860521316528,0.6585774123668671,178.87994075112223,69.66944885253906,21.605669676226263,15.407761573791504,"['Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C', 'Время испытания | - Daimler Oxidation Test (DOT), ч', 'Количество биотоплива | - Daimler Oxidation Test (DOT), % масс', 'Дозировка катализатора, категория', 'synergy_ao_phenol_x_diphenylamine_active_no', 'synergy_ao_diphenylamine_active_no_x_mo', 'synergy_zn_x_boron_dispersant', 'synergy_aw_sulfur_x_ca_ca_mg', 'ao_k_avg_weighted_active_no', 'ao_k_avg_arithmetic', 'ao_ionization_min', 'ao_homo_max']",0.0,0.0,0.0
oxidation_o2_core3,106.20928516232986,46.0762939453125,0.6435985267162323,191.3162977408093,77.7066879272461,21.10227258385041,14.445899963378906,oxidation_o2_core3,5.966479948655618,12.436356989687084,-0.5033970923758453
