rmse,mae,r2,target_name,config_id,hidden_layers,activation,alpha,learning_rate_init,fold,n_selected_features
75.14914242889286,36.94520411692232,0.7015062406147817,viscosity,relu_small,"(64, 32)",relu,0.0001,0.001,1,27
64.83016454014763,34.58664967660582,0.5824332852118903,viscosity,relu_small,"(64, 32)",relu,0.0001,0.001,2,28
259.6434093430734,82.20614745894596,0.33674837870322905,viscosity,relu_small,"(64, 32)",relu,0.0001,0.001,3,29
149.94252913088116,62.16194513291343,0.5263529310358834,viscosity,relu_small,"(64, 32)",relu,0.0001,0.001,4,28
91.63456637301189,40.80101594606402,0.3314818323093095,viscosity,relu_small,"(64, 32)",relu,0.0001,0.001,5,28
99.94124919888638,48.00308751674494,0.4720695099886304,viscosity,relu_mid,"(128, 64)",relu,0.0001,0.001,1,27
56.56550093464682,28.835607507660203,0.6821114392372506,viscosity,relu_mid,"(128, 64)",relu,0.0001,0.001,2,28
248.3291655552059,68.05290457334209,0.3932927672158205,viscosity,relu_mid,"(128, 64)",relu,0.0001,0.001,3,29
153.37549121214542,64.38558882734945,0.5044161747919335,viscosity,relu_mid,"(128, 64)",relu,0.0001,0.001,4,28
79.89935305601388,38.41781902698902,0.4917456763976248,viscosity,relu_mid,"(128, 64)",relu,0.0001,0.001,5,28
78.60041006105779,38.95384738213027,0.6734596744558174,viscosity,relu_wide,"(128, 128)",relu,0.001,0.0005,1,27
59.12321829814798,30.651144516320763,0.6527136149387607,viscosity,relu_wide,"(128, 128)",relu,0.001,0.0005,2,28
247.35558972425926,71.19547874160035,0.3980406398528914,viscosity,relu_wide,"(128, 128)",relu,0.001,0.0005,3,29
143.5100023584311,60.37602474295715,0.5661200980264763,viscosity,relu_wide,"(128, 128)",relu,0.001,0.0005,4,28
85.97278034927314,40.43852925064515,0.4115406061862812,viscosity,relu_wide,"(128, 128)",relu,0.001,0.0005,5,28
83.18421854331282,39.30698822963987,0.6342628469215041,viscosity,tanh_mid,"(64, 64)",tanh,0.001,0.001,1,27
72.59676523975266,41.174120984265976,0.47639213086352916,viscosity,tanh_mid,"(64, 64)",tanh,0.001,0.001,2,28
243.86319532133933,75.87961614308279,0.4149186779988242,viscosity,tanh_mid,"(64, 64)",tanh,0.001,0.001,3,29
148.38359540848433,65.76244862783382,0.5361506308280852,viscosity,tanh_mid,"(64, 64)",tanh,0.001,0.001,4,28
87.65057625269814,43.73244529138148,0.38834841226175143,viscosity,tanh_mid,"(64, 64)",tanh,0.001,0.001,5,28
90.55594833328428,41.46316409346568,0.5665678083597452,viscosity,tanh_wide,"(128, 64)",tanh,0.001,0.0005,1,27
53.95273998139482,28.409917790582163,0.7107997691040184,viscosity,tanh_wide,"(128, 64)",tanh,0.001,0.0005,2,28
267.7833949030838,86.15020605934822,0.29450977572966053,viscosity,tanh_wide,"(128, 64)",tanh,0.001,0.0005,3,29
143.05280373730818,61.53407750522721,0.5688802304790489,viscosity,tanh_wide,"(128, 64)",tanh,0.001,0.0005,4,28
76.7920493450154,37.906803569579566,0.5305092160484157,viscosity,tanh_wide,"(128, 64)",tanh,0.001,0.0005,5,28
83.34406000171073,44.920304646021755,0.6328559424048161,viscosity,relu_deep,"(256, 128)",relu,0.001,0.0005,1,27
