target_name,config_id,hidden_layers,activation,alpha,learning_rate_init,rmse,mae,r2,n_selected_features
oxidation,relu_mid,"(128, 64)",relu,0.0001,0.001,20.765721853487857,13.891524298390271,0.6213512692372066,29.6
oxidation,relu_wide,"(128, 128)",relu,0.001,0.0005,24.120113394079503,16.770310549288677,0.4955018338924397,29.6
oxidation,tanh_wide,"(128, 64)",tanh,0.001,0.0005,24.508316351678463,16.620501025570405,0.47754027151922696,29.6
oxidation,tanh_mid,"(64, 64)",tanh,0.001,0.001,25.161746730563785,17.668090754774187,0.4905084444519961,29.6
oxidation,relu_deep,"(256, 128)",relu,0.001,0.0005,26.43039587219165,19.48981752272447,0.3996478909424529,29.6
oxidation,relu_small,"(64, 32)",relu,0.0001,0.001,27.350670181695357,19.16258025074952,0.3808520304573456,29.6
viscosity,relu_wide,"(128, 128)",relu,0.001,0.0005,122.91240015823386,48.32300492673074,0.5403749266920455,28.0
viscosity,relu_deep,"(256, 128)",relu,0.001,0.0005,124.52869217676498,51.74719399452165,0.5147639258632475,28.0
viscosity,tanh_wide,"(128, 64)",tanh,0.001,0.0005,126.42738726001728,51.09283380364057,0.5342533599441778,28.0
viscosity,tanh_mid,"(64, 64)",tanh,0.001,0.001,127.13567015311746,53.171123855240786,0.4900145397747388,28.0
viscosity,relu_mid,"(128, 64)",relu,0.0001,0.001,127.62215199137968,49.539001490417135,0.508727113526252,28.0
viscosity,relu_small,"(64, 32)",relu,0.0001,0.001,128.2399623632014,51.340192466290304,0.49570453357501876,28.0
