config_id,hidden_layers,activation,alpha,learning_rate_init,rmse,mae,r2
tanh_wide,"(128, 64)",tanh,0.001,0.0005,113.24160904115058,49.67652457006823,0.4050511835768333
relu_wide,"(128, 128)",relu,0.001,0.0005,118.36849195337348,50.230887190979125,0.32889698684155694
tanh_mid,"(64, 64)",tanh,0.001,0.001,118.54924443253981,46.56578539498118,0.5288007568229265
relu_mid,"(128, 64)",relu,0.0001,0.001,121.3927948567626,52.14394326915202,-0.5536515352935567
relu_small,"(64, 32)",relu,0.0001,0.001,121.78517988516015,49.882671155553716,0.4050675721656595
relu_deep,"(256, 128)",relu,0.001,0.0005,133.2184825405296,55.926280924521066,0.3619109811978608
