target_name,model_name,scheme_name,gating,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
oxidation,global_backbone,global,none,28.64602297925624,4.795568039646003,22.161786596941525,5.965572831611141,-0.3960557200376621,1.4811850382445444
oxidation,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,29.068133037309405,5.420183328740801,22.927824357864186,6.085202762285829,-0.3484156175116534,1.1827604822089668
oxidation,package_type_moe__direct_soft,package_type_moe,direct_soft,30.201948650033085,5.502219317165569,22.823269922591866,6.330379387658332,-0.4778696847924516,1.367417228781525
oxidation,package_type_moe__soft,package_type_moe,soft,40.133600811258475,10.236764466007847,29.585850601139885,7.738225725008758,-2.1173629167176147,3.665171409665638
oxidation,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,40.97892716291649,29.810237063150783,25.996121722719373,8.651761224839927,-1.2885498776244835,2.1556945688802456
oxidation,package_type_moe__hard,package_type_moe,hard,48.57490417389381,15.503139497130109,35.20243567073233,9.383113918671688,-3.393249864401382,4.565233086424393
oxidation,recipe_cluster_moe__soft,recipe_cluster_moe,soft,50.509920191336555,47.50033704714923,30.875874967516364,16.172878156611965,-5.205520162977456,11.33604349124646
oxidation,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,56.04405935912367,40.92586724286529,33.31613585270619,9.010079658799997,-3.4664302494074355,4.379350777630539
oxidation,recipe_cluster_moe__hard,recipe_cluster_moe,hard,79.69990525321822,103.50641908164239,42.22895661103376,32.03990159855078,-20.590946018803162,45.02447170588968
oxidation,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,88.61775310282877,90.87811901350989,45.90651408946479,18.403730647360774,-10.274994364001575,14.852562043737846
viscosity,recipe_cluster_moe__direct_soft,recipe_cluster_moe,direct_soft,126.81511942031293,160.66649649722257,74.31699751262333,91.7092306857617,-2.2294086108567206,1.9731790597836456
viscosity,global_backbone,global,none,131.2297121333849,153.7694929973921,76.26626484232926,89.09661540946665,-3.2576887667936014,3.4621853937732197
viscosity,package_type_moe__direct_soft,package_type_moe,direct_soft,136.06204143908164,148.2688254709621,81.29748516235543,84.69416566466478,-4.119510091773568,3.911718175911378
viscosity,dominant_base_oil_moe__direct_soft,dominant_base_oil_moe,direct_soft,152.33599124344954,142.66098643834263,85.13637058275656,83.29850987789915,-9.682459451921805,12.228884770569607
viscosity,recipe_cluster_moe__soft,recipe_cluster_moe,soft,165.35015631356092,144.48326713397384,96.97660777828473,83.16345132817138,-10.197115909818518,8.00274306069672
viscosity,package_type_moe__soft,package_type_moe,soft,181.28938003733592,123.36071064156693,112.93023028106884,72.50558081379671,-16.93024746205035,15.752486701759306
viscosity,recipe_cluster_moe__hard,recipe_cluster_moe,hard,197.53075184796663,139.5285750955898,112.32102642679986,81.23096429075234,-23.94417324041461,29.2748090536954
viscosity,package_type_moe__hard,package_type_moe,hard,205.95206929246106,111.75148307730802,128.11529719695994,69.1836158642808,-26.151633775522463,21.13779485250961
viscosity,dominant_base_oil_moe__soft,dominant_base_oil_moe,soft,205.95985509073984,121.37423819952373,119.24932422188299,69.02687707758518,-30.555339215770754,33.22138194864241
viscosity,dominant_base_oil_moe__hard,dominant_base_oil_moe,hard,273.01634160559126,131.48257314532694,154.5274883753719,66.61079105248234,-89.31636527328871,124.83145934940443
