feature_set,feature_name,coef,abs_coef
ao_core_narrow,ao_pair_x_biofuel,12.639412108879515,12.639412108879515
ao_core_narrow,ao_dpa_phenol_imbalance,-8.743908894351483,8.743908894351483
ao_core_narrow,synergy_ao_phenol_x_diphenylamine_active_no,-8.342345090538684,8.342345090538684
ao_core_narrow,ao_homo_max,-7.57058627547909,7.57058627547909
ao_core_narrow,ao_ionization_min,-4.294150809167636,4.294150809167636
ao_core_narrow,ao_ratio_x_baseoil_share,1.5140328894822526,1.5140328894822526
ao_core_narrow,active_no_coverage_share,1.452378408252587,1.452378408252587
ao_core_narrow,ao_dpa_phenol_ratio,-0.6727212958255536,0.6727212958255536
ao_core_narrow,ao_dpa_phenol_min,0.5285273227016182,0.5285273227016182
ao_core_narrow,ao_k_avg_weighted_active_no,-7.302248697755837e-176,7.302248697755837e-176
ao_mo_narrow,ao_mo_x_biofuel,15.937423235586131,15.937423235586131
ao_mo_narrow,mo_coverage_share,-10.178297755669824,10.178297755669824
ao_mo_narrow,ao_mo_x_severity,-5.589089703301072,5.589089703301072
ao_mo_narrow,synergy_ao_diphenylamine_active_no_x_mo,-0.819498347301136,0.819498347301136
ao_family_narrow,mo_coverage_share,-14.26498433464991,14.26498433464991
ao_family_narrow,ao_mo_x_biofuel,11.615555582780681,11.615555582780681
ao_family_narrow,synergy_ao_phenol_x_diphenylamine_active_no,-9.483182951778048,9.483182951778048
ao_family_narrow,ao_pair_x_biofuel,7.851009234997796,7.851009234997796
ao_family_narrow,ao_homo_max,-6.091128451245497,6.091128451245497
ao_family_narrow,ao_mo_x_severity,-6.088294876572795,6.088294876572795
ao_family_narrow,active_no_coverage_share,5.578228874525407,5.578228874525407
ao_family_narrow,ao_ionization_min,-4.978668147408924,4.978668147408924
ao_family_narrow,synergy_ao_diphenylamine_active_no_x_mo,4.717953276969894,4.717953276969894
ao_family_narrow,ao_dpa_phenol_imbalance,-4.233529238754581,4.233529238754581
ao_family_narrow,ao_dpa_phenol_min,3.060498922958317,3.060498922958317
ao_family_narrow,ao_dpa_phenol_ratio,-2.461651364351556,2.461651364351556
ao_family_narrow,ao_ratio_x_baseoil_share,-0.9406587889213697,0.9406587889213697
ao_family_narrow,ao_k_avg_weighted_active_no,-6.02230277370485e-176,6.02230277370485e-176
zddp_narrow,zddp_zinc_tbn_interaction,6.604729505308412,6.604729505308412
zddp_narrow,zddp_sulfur_camg_interaction,2.6861264168642776,2.6861264168642776
zddp_narrow,zddp_calcium_coverage_share,2.411653239292641,2.411653239292641
zddp_narrow,zddp_zinc_boron_log1p,-1.1027437511891351,1.1027437511891351
zddp_narrow,zddp_sulfur_calcium_interaction,-0.08719293664904554,0.08719293664904554
oxidation_v4_narrow,ao_pair_x_biofuel,9.993683401779572,9.993683401779572
oxidation_v4_narrow,ao_mo_x_biofuel,8.415667117065315,8.415667117065315
oxidation_v4_narrow,zddp_zinc_tbn_interaction,8.35145140026421,8.35145140026421
oxidation_v4_narrow,synergy_ao_diphenylamine_active_no_x_mo,-8.077019198364388,8.077019198364388
oxidation_v4_narrow,synergy_ao_phenol_x_diphenylamine_active_no,-4.065961148646084,4.065961148646084
oxidation_v4_narrow,ao_mo_x_severity,-3.664615615764765,3.664615615764765
oxidation_v4_narrow,ao_dpa_phenol_imbalance,-3.54925365947917,3.54925365947917
oxidation_v4_narrow,ao_dpa_phenol_min,3.1894445022499633,3.1894445022499633
oxidation_v4_narrow,ao_dpa_phenol_ratio,-2.2419547194255496,2.2419547194255496
oxidation_v4_narrow,zddp_sulfur_calcium_interaction,1.8615767066436582,1.8615767066436582
oxidation_v4_narrow,ao_ionization_min,-1.20093199708957,1.20093199708957
oxidation_v4_narrow,ao_homo_max,-1.0105635404788509,1.0105635404788509
oxidation_v4_narrow,zddp_zinc_boron_log1p,0.6614301537131291,0.6614301537131291
oxidation_v4_narrow,ao_ratio_x_baseoil_share,-0.05743340510634526,0.05743340510634526
oxidation_v4_narrow,ao_k_avg_weighted_active_no,-4.235186770315327e-176,4.235186770315327e-176
