pair_type,mean_signed_effect,median_signed_effect,mean_abs_signed_effect,positive_share,nonzero_scenarios
zddp_detergent,1.9277833098365416,0.4147357940673828,2.3848090746710375,0.6167664670658682,164
ao_mo,-1.6659517651368043,0.0,1.8234430293658537,0.059880239520958084,90
ao_ao,-0.40183985807715417,0.0,1.098751833729312,0.2934131736526946,118
antiwear_ca_mg,-0.2873965051229589,0.0,0.3930136564005984,0.40718562874251496,121
zn_dispersant,-0.013010780789894972,0.0,0.3763322860537889,0.2215568862275449,62
