n_components,rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2
3,157.0851306679237,31.504313273244843,83.97624335189548,23.461100419014365,-0.2924048680400183,0.1846744090729034,94.29472197058426,53.718671885454924,-0.05386522948355745
4,160.75417817334542,29.739517813117907,83.91752812201847,22.916822500310168,-0.5045931710667813,0.29661131251676653,95.24684799323165,53.417175311164314,-0.10399092927500733
1,162.61825857703144,36.11178753701728,89.5405257616778,31.422273858128797,-0.33892950632213054,-0.019683623833140262,99.36502305702435,60.481399809903294,-0.1793065650776354
5,169.40300713447078,29.877908947093722,87.53530682109734,22.733734675124865,-1.0825881986053665,0.28933305955233524,99.64045804078225,55.13452074811109,-0.39662756952651557
2,169.3939144491593,31.702069569102115,89.32251368800371,23.65240465083486,-0.8660965510750147,0.16722343243163076,100.54799200913071,56.487459169419274,-0.34943655932169204
8,184.55907818731174,26.75325211598018,101.35761873403735,20.648093255158745,-2.146809667425523,0.4233597026930022,105.65616515164595,61.00285599459804,-0.8617249823662603
7,183.93298690029664,27.60477618406291,94.87538606108562,21.35305969604955,-2.2312944759293107,0.3937359764072478,105.76888154217977,58.11422287856759,-0.9187792497610314
9,197.13313122916276,26.89199942639762,110.07265273556655,20.67748198475965,-3.2068249218232325,0.4229178262391846,112.01256532778021,65.3750673601631,-1.3919535477920237
6,197.50311768735352,29.07173490499729,95.95164845283111,22.036830713955602,-3.9797401189730186,0.30550365728764006,113.28742629617541,58.99423958339336,-1.8371182308426897
12,194.4730295939515,35.73687985003612,118.73581973729983,21.662143629204866,-2.2960901699395544,-0.4648194672087283,115.10495472199382,70.19898168325236,-1.3804548185741414
11,208.40527072571007,32.93344568971227,120.54955060752141,22.35456848533687,-3.947937452819456,-0.06811310247498681,120.66935820771116,71.45205954642914,-2.0080252776472216
10,231.26559377362568,27.956511196352057,121.53719974384732,21.15150988087376,-8.109716303073318,0.35875437336493,129.61105248498887,71.34435481236055,-3.8754809648541944
