config_id,fold,d_model,n_heads,n_layers,dropout,lr,weight_decay,best_val_loss,rmse_viscosity,rmse_oxidation,mae_viscosity,mae_oxidation,r2_viscosity,r2_oxidation,mean_rmse,mean_mae,mean_r2
st_small,1,64,4,2,0.1,0.0003,0.0001,0.33581072092056274,210.06425728214688,32.943462606648154,88.406982421875,29.0313720703125,0.03466308116912842,0.130171537399292,121.50385994439752,58.71917724609375,0.0824173092842102
st_small,2,64,4,2,0.1,0.0003,0.0001,0.6033543348312378,61.02122853590585,37.8342009009375,34.13276290893555,30.036218643188477,0.14287060499191284,0.05159401893615723,49.427714718421676,32.08449077606201,0.09723231196403503
st_small,3,64,4,2,0.1,0.0003,0.0001,0.355044424533844,150.70149121068775,37.80973162644853,58.199729919433594,28.09555435180664,0.14464622735977173,-0.10895359516143799,94.25561141856814,43.14764213562012,0.01784631609916687
st_small,4,64,4,2,0.1,0.0003,0.0001,0.551937460899353,109.6969680742704,34.27222384305456,44.00215148925781,25.287275314331055,0.14160633087158203,0.11552882194519043,71.98459595866248,34.644713401794434,0.12856757640838623
st_small,5,64,4,2,0.1,0.0003,0.0001,0.4415298402309418,313.75806762536,29.957578038512956,95.70645141601562,25.565610885620117,0.017969608306884766,0.121387779712677,171.8578228319365,60.63603115081787,0.06967869400978088
st_medium,1,96,4,2,0.1,0.0003,0.0001,0.30536407232284546,204.13177422929533,27.900390009734856,85.63932037353516,22.602388381958008,0.0884178876876831,0.37609899044036865,116.01608211951509,54.12085437774658,0.23225843906402588
st_medium,2,96,4,2,0.1,0.0003,0.0001,0.5037214159965515,46.11744094564442,32.34693334274035,29.010778427124023,23.29783821105957,0.510429859161377,0.30674755573272705,39.23218714419238,26.154308319091797,0.408588707447052
st_medium,3,96,4,2,0.1,0.0003,0.0001,0.34233206510543823,149.34260893579568,36.39985861279203,57.62649154663086,26.8089656829834,0.1600022315979004,-0.027792811393737793,92.87123377429386,42.21772861480713,0.0661047101020813
st_medium,4,96,4,2,0.1,0.0003,0.0001,0.4721355438232422,103.56832738583742,31.25659988900094,42.07657241821289,22.600053787231445,0.23484188318252563,0.26433080434799194,67.41246363741918,32.33831310272217,0.2495863437652588
st_medium,5,96,4,2,0.1,0.0003,0.0001,0.3132493197917938,305.7430881271071,26.824880591532928,93.32835388183594,20.278303146362305,0.06750094890594482,0.29553502798080444,166.28398435932002,56.80332851409912,0.18151798844337463
st_deep,1,96,4,3,0.15,0.0002,0.0001,0.3237929344177246,208.00357756839185,30.12401430408917,88.09839630126953,26.925485610961914,0.05350959300994873,0.2726879119873047,119.06379593624051,57.51194095611572,0.1630987524986267
st_deep,2,96,4,3,0.15,0.0002,0.0001,0.5790354013442993,58.41781294383268,36.45612697936984,34.53219223022461,27.40498161315918,0.2144477367401123,0.11942529678344727,47.436969961601264,30.968586921691895,0.16693651676177979
st_deep,3,96,4,3,0.15,0.0002,0.0001,0.3588522672653198,159.3440288534528,39.358334456769605,63.511016845703125,28.005054473876953,0.04372614622116089,-0.2016545534133911,99.3511816551112,45.75803565979004,-0.07896420359611511
st_deep,4,96,4,3,0.15,0.0002,0.0001,0.5206232070922852,104.2120968640997,33.257253673071084,42.31562805175781,23.676048278808594,0.22530007362365723,0.16714030504226685,68.73467526858539,32.9958381652832,0.19622018933296204
st_deep,5,96,4,3,0.15,0.0002,0.0001,0.3678554594516754,306.6307964189181,28.582489030859765,95.73359680175781,23.135255813598633,0.062078118324279785,0.20019537210464478,167.60664272488896,59.43442630767822,0.13113674521446228
